國文,英文,數學,社會,自然
15,11,10,9,15
14,10,14,14,6
15,11,11,12,11
7,15,12,9,14
15,10,12,15,8
13,7,12,15,9
13,13,13,7,15
14,8,7,12,9
13,13,14,10,9
9,12,6,8,8
15,8,7,6,13
8,6,14,10,12
11,10,11,7,8
8,6,11,14,6
15,14,14,13,6
9,15,12,8,12
14,13,6,15,6
15,8,15,13,6
10,9,13,11,7
10,8,12,6,15
6,14,14,8,12
14,10,11,11,12
12,13,13,15,14
13,13,6,9,11
12,7,12,8,9
14,6,14,11,11
15,11,9,10,12
6,7,8,7,9
14,14,8,7,6
9,6,13,9,11
15,7,13,12,11
10,10,7,15,9
6,10,10,7,9
12,7,6,9,7
13,12,8,7,12
6,9,10,10,14
11,10,14,11,11
11,8,10,13,10
13,10,13,13,11
8,9,7,10,7
10,9,14,12,6
13,6,7,11,13
11,13,10,8,14
11,13,15,10,8
11,8,9,15,12
8,10,15,14,13
12,12,8,7,13
11,10,9,14,11
15,13,11,15,9
7,10,11,14,8
11,10,6,9,6
13,13,6,13,8
13,7,12,15,11
13,7,7,7,12
10,9,12,14,11
7,10,9,15,11
11,12,11,6,13
9,9,8,6,14
13,8,12,15,15
7,12,15,8,7
8,11,7,15,6
12,14,15,10,6
6,10,7,7,15
7,8,7,8,10
12,12,10,13,9
13,10,12,14,13
15,12,11,15,7
11,8,7,10,10
9,8,8,6,12
10,12,9,15,14
9,15,12,15,11
13,13,11,14,11
7,11,13,12,10
8,12,12,11,10
12,6,12,15,6
12,14,8,14,9
13,9,13,14,12
13,15,13,11,13
7,12,15,14,9
15,8,9,12,14
14,14,12,6,12
7,7,13,15,14
6,11,12,13,9
8,12,7,13,7
8,15,8,8,15
11,12,9,11,6
7,12,12,7,6
10,7,15,14,12
8,9,8,10,12
12,7,11,9,8
12,15,10,15,12
8,10,10,9,10
12,8,11,11,15
12,10,9,15,12
14,6,10,6,11
6,13,11,8,9
7,10,8,11,6
14,15,12,12,6
13,13,10,14,6
13,8,8,15,9
